customer_id,name,age,email,city,state,account_type
CUST-9ECF7D09,Vanessa Mcfarland,63,cruzjermaine@example.com,Martinhaven,AR,SAVINGS
CUST-83828A23,Colleen Hayes,55,mitchelllindsey@example.com,Anthonyhaven,SC,CREDIT
CUST-ECAE9A85,Dr. Austin Murillo,63,karen51@example.org,East Lisa,AL,CREDIT
CUST-1119C4E6,Andrew Mccall,60,andrea81@example.org,Lake Gina,CT,SAVINGS
CUST-50BFA263,Amy Wilson,50,englishmary@example.com,Thompsonview,AR,CHECKING
CUST-B8A55F64,Lisa Hardy,65,jessica61@example.com,Knoxbury,PW,CREDIT
CUST-B3E9ACC7,Mark Heath,35,evan12@example.org,Michaelport,AR,SAVINGS
CUST-F54358B9,Kimberly Bass,46,mooremichael@example.com,South Jennifermouth,CA,CHECKING
CUST-B0BC48E4,Eric Young,54,hsilva@example.com,Port Stephaniechester,PW,CHECKING
CUST-35CB6E21,Allen Leach,35,jeffreyfaulkner@example.net,New Stephaniebury,AZ,CREDIT
CUST-1558CFDB,Megan Turner,56,kristin11@example.com,East Edgarburgh,TN,CHECKING
CUST-30F64615,Jason Mejia,24,leerobert@example.net,Parkshaven,MH,CREDIT
CUST-858C62BA,Joshua Williams,32,christina19@example.org,Amandaport,MD,CREDIT
CUST-26490ACE,Laurie Wilson,63,campbellmichele@example.org,West Ryanchester,NV,CHECKING
CUST-99996211,Joseph Villarreal,21,lisa74@example.com,West Matthewborough,NY,CHECKING
CUST-45BD0333,Sherri Murillo,36,christopher05@example.com,New James,SD,CREDIT
CUST-09FC46C5,Elizabeth Patton,71,hooverpamela@example.org,New Jeffrey,TN,SAVINGS
CUST-3A018A77,Amanda Padilla PhD,28,richardmunoz@example.org,Gilesfort,NY,CREDIT
CUST-5196BD1B,Katherine Sosa,32,nashdavid@example.com,Mikehaven,ME,CREDIT
CUST-A0971976,Tracy Brady,32,veronicahobbs@example.org,Danielfurt,AL,CHECKING
CUST-ACAF3DBA,Jillian Padilla,74,allenjohnson@example.org,Kevinborough,AZ,SAVINGS
CUST-BA49F478,Mark Chapman,27,hubertracy@example.com,New Terri,FL,CHECKING
CUST-30FFDAEF,Ashley Wells,28,cruzstephen@example.net,West Shannonfurt,IA,SAVINGS
CUST-4C1A8794,Emily Fisher,72,thomasbeasley@example.com,Lake Johnside,WI,CREDIT
CUST-889C98EC,Thomas Huber,35,kathy25@example.org,Lake Paulport,WA,CREDIT
CUST-F530B961,Cheryl Fields,79,lopezjennifer@example.com,Lorraineshire,KY,SAVINGS
CUST-6E985D87,Jeffery Harris,42,malonemelissa@example.com,Lake Donaldfort,PA,SAVINGS
CUST-8B799D24,Douglas Brooks,51,joshuadiaz@example.org,Simonberg,VA,CREDIT
CUST-B088E57D,James Martin,28,mariavaughn@example.org,East Shannon,DE,CHECKING
CUST-7D4F8374,Daniel Aguilar,38,jacobsoncharles@example.net,Sellershaven,VT,CHECKING
CUST-E85DE16A,Taylor Alexander,76,emmaarcher@example.com,East Susanbury,AL,CREDIT
CUST-902A4006,Matthew Griffin,65,hannah20@example.net,Sandovalmouth,MN,SAVINGS
CUST-77CF882F,Richard Martinez,30,tbishop@example.com,South Shelleymouth,KS,CHECKING
CUST-78077792,Brian Stone,53,hunterchristopher@example.org,Nathanielfurt,AL,CHECKING
CUST-DB474E2A,Donald Sparks DDS,37,elliottallison@example.com,New Pamelashire,KS,CHECKING
CUST-56C43E45,Mariah Wright,45,vgalloway@example.org,Moodyfort,DE,SAVINGS
CUST-CB1198A1,Michael Poole,29,johngarcia@example.com,North Michaelbury,IN,CHECKING
CUST-DFA5428B,Lindsay Adams,56,ramoschristopher@example.net,West Christopher,NM,CHECKING
CUST-B17A1CB2,Mercedes Hill,66,catherinelopez@example.net,Phillipberg,PW,SAVINGS
CUST-983BA7CB,Elizabeth Owens,33,christopherdunn@example.com,East Brianport,ID,SAVINGS
CUST-848AE78D,Brandon Davis,68,philiplawrence@example.com,West Laura,MN,SAVINGS
CUST-C79C1656,Francis Washington,23,jeremymartinez@example.org,Port Gabriela,TX,CHECKING
CUST-56C3C470,Matthew Washington,56,josephbutler@example.org,South Amandamouth,WA,CHECKING
CUST-1BE490A4,Christine Soto,59,mckenziejonathan@example.org,Justinview,WY,CREDIT
CUST-5CF2433D,Christopher Mccoy,64,mccarthyelizabeth@example.com,Lake Sarahfort,NM,SAVINGS
CUST-6C77E6E2,Joshua Thompson,30,sean49@example.com,East Michaelland,AS,CHECKING
CUST-550E12E2,Stephen Hill,80,josephpatel@example.org,South Timothystad,AZ,CREDIT
CUST-32EACD02,Terry Morris,48,jasonhuang@example.org,Josephview,NV,CHECKING
CUST-A4630795,Karen Burns,76,travis93@example.net,East Ricardobury,MP,CREDIT
CUST-DCDD0519,John Lester,29,cameronbraun@example.net,Victoriafurt,MD,SAVINGS
CUST-A31B35A3,Fernando Reyes,67,bruce81@example.net,Drewfort,OR,SAVINGS
CUST-DC8CE6A5,Mitchell Stewart,24,davidchambers@example.com,Lake Richard,MI,SAVINGS
CUST-5E4DED4A,James Turner,22,ndavis@example.com,South Jessica,MA,SAVINGS
CUST-547B8849,Lindsay Stephens,20,awalker@example.com,Rachelstad,VT,CHECKING
CUST-FEE8BEA0,Erica Cross,39,smckinney@example.com,Jamesmouth,MH,CHECKING
CUST-B57E0B24,Michaela Velasquez,52,ubrewer@example.com,West Angela,RI,SAVINGS
CUST-23229D43,Amanda Owens,78,katherinewood@example.net,North Jaime,NC,CREDIT
CUST-CEDE8729,Nicole Wilson,69,floresbrad@example.net,Maryport,AZ,CHECKING
CUST-802F5A7E,Brittany Griffith,45,scottbell@example.net,West Lukefurt,PR,SAVINGS
CUST-0C850AC3,Hannah Scott,77,kkim@example.net,Garyview,AR,CREDIT
CUST-546E2C36,Erica Haney,44,rosenicholas@example.org,Diazside,GU,CREDIT
CUST-2E847E09,Kerry Lynn,18,david50@example.org,Markport,HI,CREDIT
CUST-F025273A,Bridget Reed,21,brandonsmith@example.com,Lake Kathrynton,AS,CHECKING
CUST-E9FC7DB0,Steven Burke,67,diana40@example.com,Lake Jamesburgh,OK,CREDIT
CUST-8D1B69A0,Christine Rose,35,tweaver@example.net,Dianehaven,UT,SAVINGS
CUST-23D705E4,Steven Russell,54,ismall@example.org,South Matthew,AK,CREDIT
CUST-07CA1DEF,Amanda Schmidt,63,josephpetersen@example.net,Trevortown,OH,SAVINGS
CUST-C463F075,Steven Anderson,76,crawfordjason@example.org,Sanchezmouth,CO,CHECKING
CUST-F54D58D6,Jessica Rios,54,jmorgan@example.com,Chenland,ID,SAVINGS
CUST-84DE4EF5,Margaret Thornton,75,toddnelson@example.org,West Mary,MH,CHECKING
CUST-30ED4DF9,Timothy Smith,60,hjordan@example.org,Jameston,GA,SAVINGS
CUST-80524561,Tanya Combs,75,mooremelissa@example.org,East Marthaland,MA,SAVINGS
CUST-BF55D679,Roger Miller,39,waltersjennifer@example.com,North Jonathanfurt,NE,CREDIT
CUST-113A3B22,Tracey Spencer,75,eacosta@example.net,Riveraport,IN,CHECKING
CUST-2EC1C399,Patricia Gibson,75,awilkerson@example.net,Seanmouth,IN,CREDIT
CUST-EB3B48C7,Stephen Lowe,27,mcguirelaura@example.org,New Daniel,ND,CHECKING
CUST-1971772F,Lisa Watts,25,ijohnson@example.com,Powersfurt,KS,CREDIT
CUST-3866B3EC,Connor Ayala,19,amber16@example.org,West Traci,GA,SAVINGS
CUST-EC3FCD86,Monique Ray,60,swells@example.org,Ashleychester,HI,CREDIT
CUST-8B7AA136,Morgan Lee,32,rstephenson@example.org,Port Ericfurt,CA,CHECKING
CUST-32610907,Tyler Ellis,23,ellen68@example.com,Gregoryview,OH,CREDIT
CUST-A7D8A542,Paul Clements,45,andrew25@example.net,Davishaven,VA,SAVINGS
CUST-6EF566A7,Daniel Gutierrez,23,jeffersondave@example.net,East Josephland,LA,CREDIT
CUST-A181AFFD,Jennifer Schmidt,75,gonzaleznicole@example.net,Jenniferville,RI,CHECKING
CUST-B6BC7543,Jenna Sanders,58,angelastephenson@example.com,Ruizmouth,MD,CREDIT
CUST-D4738A60,Jason Wells,51,alanhughes@example.org,Lake Daniel,MN,CHECKING
CUST-45BB39B7,Joseph Walsh,49,dsmith@example.org,Markview,AS,CREDIT
CUST-EDE7AA4A,Christy Wiley,58,jacksonstephen@example.org,New Christopher,ND,CHECKING
CUST-32EA98DC,Tonya Baxter,41,qjones@example.com,Meyerberg,PW,SAVINGS
CUST-1A8A00BE,Jason Hall,55,julie34@example.com,West Matthew,AR,CHECKING
CUST-D326F116,April Perez,32,adamsrussell@example.com,Townsendburgh,MI,CHECKING
CUST-A912B879,Cody Matthews,80,travisdavidson@example.net,Franciston,MA,CHECKING
CUST-BBD45AA7,Amy Joyce,48,carla15@example.org,Kramerview,VT,SAVINGS
CUST-96099770,Amy Lewis,35,ylee@example.net,Joshuatown,WI,CHECKING
